filename,bucket_genus,bucket_relative_path,plantnet_genus,plantnet_family,plantnet_genus_score,identified_at,notes
PXL_20260401_014410318.jpg,Sambucus,Sambucus/PXL_20260401_014410318.jpg,Sambucus,Viburnaceae,0.926240,2026-05-05T04:43:40+00:00,
PXL_20260401_021515929.jpg,Pelargonium,Pelargonium/PXL_20260401_021515929.jpg,Pelargonium,Geraniaceae,0.949330,2026-05-05T04:44:08+00:00,
PXL_20260401_021556717.jpg,Wisteria,Wisteria/PXL_20260401_021556717.jpg,Wisteria,Fabaceae,0.954080,2026-05-05T04:44:19+00:00,
PXL_20260401_210830273.jpg,Bougainvillea,Bougainvillea/PXL_20260401_210830273.jpg,Bougainvillea,Nyctaginaceae,0.960320,2026-05-05T04:44:30+00:00,
PXL_20260401_210836161.MP.jpg,Bougainvillea,Bougainvillea/PXL_20260401_210836161.MP.jpg,Bougainvillea,Nyctaginaceae,0.978560,2026-05-05T04:44:43+00:00,
PXL_20260401_210840230.jpg,Bougainvillea,Bougainvillea/PXL_20260401_210840230.jpg,Bougainvillea,Nyctaginaceae,0.984870,2026-05-05T04:44:53+00:00,
PXL_20260401_211543817.jpg,Calendula,Calendula/PXL_20260401_211543817.jpg,Calendula,Asteraceae,0.937010,2026-05-05T04:44:58+00:00,
PXL_20260402_171547021.jpg,Lantana,Lantana/PXL_20260402_171547021.jpg,Lantana,Verbenaceae,0.876720,2026-05-05T04:45:15+00:00,
PXL_20260404_033040923.jpg,Viola,Viola/PXL_20260404_033040923.jpg,Viola,Violaceae,0.911460,2026-05-05T04:45:32+00:00,
PXL_20260405_005222136.jpg,Iris,Iris/PXL_20260405_005222136.jpg,Iris,Iridaceae,0.993050,2026-05-05T04:46:01+00:00,
PXL_20260405_005534033.jpg,Rosa,Rosa/PXL_20260405_005534033.jpg,Rosa,Rosaceae,0.989890,2026-05-05T04:46:11+00:00,
PXL_20260405_010500062.jpg,Rosa,Rosa/PXL_20260405_010500062.jpg,Rosa,Rosaceae,0.979770,2026-05-05T04:46:25+00:00,
PXL_20260405_010710124.jpg,Grevillea,Grevillea/PXL_20260405_010710124.jpg,Grevillea,Proteaceae,0.905680,2026-05-05T04:46:40+00:00,
PXL_20260405_015437731.jpg,Antirrhinum,Antirrhinum/PXL_20260405_015437731.jpg,Antirrhinum,Plantaginaceae,0.856820,2026-05-05T04:46:44+00:00,
PXL_20260405_015440620.MP.jpg,Oreomecon,Oreomecon/PXL_20260405_015440620.MP.jpg,Oreomecon,Papaveraceae,0.875550,2026-05-05T04:46:57+00:00,
PXL_20260405_015837310.jpg,Rhododendron,Rhododendron/PXL_20260405_015837310.jpg,Rhododendron,Ericaceae,0.988510,2026-05-05T04:47:02+00:00,
PXL_20260405_172357255.jpg,Lycianthes,Lycianthes/PXL_20260405_172357255.jpg,Lycianthes,Solanaceae,0.826470,2026-05-05T04:47:09+00:00,
PXL_20260405_172436177.jpg,Strelitzia,Strelitzia/PXL_20260405_172436177.jpg,Strelitzia,Strelitziaceae,0.945840,2026-05-05T04:47:21+00:00,
PXL_20260405_172510425.jpg,Pelargonium,Pelargonium/PXL_20260405_172510425.jpg,Pelargonium,Geraniaceae,0.881430,2026-05-05T04:47:33+00:00,
PXL_20260405_174420180.jpg,Ceanothus,Ceanothus/PXL_20260405_174420180.jpg,Ceanothus,Rhamnaceae,0.956900,2026-05-05T04:47:44+00:00,
PXL_20260405_175522693.MP.jpg,Magnolia,Magnolia/PXL_20260405_175522693.MP.jpg,Magnolia,Magnoliaceae,0.989440,2026-05-05T04:48:05+00:00,
PXL_20260405_175655355.jpg,Clivia,Clivia/PXL_20260405_175655355.jpg,Clivia,Amaryllidaceae,0.940860,2026-05-05T04:48:09+00:00,
PXL_20260405_180652621.jpg,Myosotis,Myosotis/PXL_20260405_180652621.jpg,Myosotis,Boraginaceae,0.841130,2026-05-05T04:48:21+00:00,
PXL_20260405_180915248.jpg,Rhododendron,Rhododendron/PXL_20260405_180915248.jpg,Rhododendron,Ericaceae,0.926940,2026-05-05T04:48:31+00:00,
PXL_20260405_181152831.jpg,Zantedeschia,Zantedeschia/PXL_20260405_181152831.jpg,Zantedeschia,Araceae,0.963130,2026-05-05T04:48:45+00:00,
PXL_20260405_183250313.jpg,Malus,Malus/PXL_20260405_183250313.jpg,Malus,Rosaceae,0.909140,2026-05-05T04:48:49+00:00,
PXL_20260405_183351390.jpg,Oxalis,Oxalis/PXL_20260405_183351390.jpg,Oxalis,Oxalidaceae,0.995130,2026-05-05T04:48:56+00:00,
PXL_20260405_201554036.jpg,Leucospermum,Leucospermum/PXL_20260405_201554036.jpg,Leucospermum,Proteaceae,0.995890,2026-05-05T04:49:11+00:00,
PXL_20260405_202310720.jpg,Bougainvillea,Bougainvillea/PXL_20260405_202310720.jpg,Bougainvillea,Nyctaginaceae,0.970040,2026-05-05T04:49:16+00:00,
PXL_20260405_213514021.jpg,Rosa,Rosa/PXL_20260405_213514021.jpg,Rosa,Rosaceae,0.958620,2026-05-05T04:49:24+00:00,
PXL_20260405_213810401.jpg,Malus,Malus/PXL_20260405_213810401.jpg,Malus,Rosaceae,0.917640,2026-05-05T04:49:47+00:00,
PXL_20260405_222834827.jpg,Rosa,Rosa/PXL_20260405_222834827.jpg,Rosa,Rosaceae,0.957120,2026-05-05T04:50:20+00:00,
PXL_20260405_223439854.jpg,Viola,Viola/PXL_20260405_223439854.jpg,Viola,Violaceae,0.964490,2026-05-05T04:50:33+00:00,
PXL_20260405_223611714.jpg,Rosa,Rosa/PXL_20260405_223611714.jpg,Rosa,Rosaceae,0.945610,2026-05-05T04:50:40+00:00,
PXL_20260406_013135073.jpg,Bignonia,Bignonia/PXL_20260406_013135073.jpg,Bignonia,Bignoniaceae,0.864000,2026-05-05T04:50:51+00:00,
PXL_20260415_011847349.jpg,Alstroemeria,Alstroemeria/PXL_20260415_011847349.jpg,Alstroemeria,Alstroemeriaceae,0.980570,2026-05-05T04:51:09+00:00,
PXL_20260415_011913998.jpg,Rosa,Rosa/PXL_20260415_011913998.jpg,Rosa,Rosaceae,0.971590,2026-05-05T04:51:12+00:00,
PXL_20260415_012008054.jpg,Rosa,Rosa/PXL_20260415_012008054.jpg,Rosa,Rosaceae,0.989360,2026-05-05T04:51:22+00:00,
PXL_20260415_012045494.jpg,Carpobrotus,Carpobrotus/PXL_20260415_012045494.jpg,Carpobrotus,Aizoaceae,0.921150,2026-05-05T04:51:37+00:00,
PXL_20260415_012117498.jpg,Aeonium,Aeonium/PXL_20260415_012117498.jpg,Aeonium,Crassulaceae,0.981490,2026-05-05T04:51:49+00:00,
PXL_20260415_012324730.jpg,Rosa,Rosa/PXL_20260415_012324730.jpg,Rosa,Rosaceae,0.960270,2026-05-05T04:51:54+00:00,
PXL_20260415_012639692.jpg,Bauhinia,Bauhinia/PXL_20260415_012639692.jpg,Bauhinia,Fabaceae,0.817100,2026-05-05T04:52:02+00:00,
PXL_20260415_012713731.jpg,Rosa,Rosa/PXL_20260415_012713731.jpg,Rosa,Rosaceae,0.962310,2026-05-05T04:52:11+00:00,
PXL_20260415_012902218.jpg,Rosa,Rosa/PXL_20260415_012902218.jpg,Rosa,Rosaceae,0.933130,2026-05-05T04:52:26+00:00,
PXL_20260415_013024394.jpg,Hibiscus,Hibiscus/PXL_20260415_013024394.jpg,Hibiscus,Malvaceae,0.984740,2026-05-05T04:52:34+00:00,
PXL_20260415_013141238.jpg,Helleborus,Helleborus/PXL_20260415_013141238.jpg,Helleborus,Ranunculaceae,0.897690,2026-05-05T04:52:41+00:00,
PXL_20260415_015441286.jpg,Rosa,Rosa/PXL_20260415_015441286.jpg,Rosa,Rosaceae,0.958200,2026-05-05T04:52:49+00:00,
PXL_20260415_015647579.jpg,Oenothera,Oenothera/PXL_20260415_015647579.jpg,Oenothera,Onagraceae,0.990240,2026-05-05T04:52:54+00:00,
PXL_20260415_020922471.jpg,Bauhinia,Bauhinia/PXL_20260415_020922471.jpg,Bauhinia,Fabaceae,0.948970,2026-05-05T04:53:29+00:00,
